Running on: qgpu3009
Sat Aug 22 04:04:02 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 610.43.02              KMD Version: 610.43.02     CUDA UMD Version: 13.3     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:42:00.0 Off |                    0 |
| N/A   44C    P0             72W /  700W |       0MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Filesystem      Size  Used Avail Use% Mounted on
gpfs            1.0T  904G  121G  89% /gpfs
Step 0: grad_norm=0.1741, loss=0.0544, param_norm=1803.8630
Step 100: grad_norm=0.1371, loss=0.0384, param_norm=1803.8629
Step 200: grad_norm=0.1130, loss=0.0282, param_norm=1803.8630
Step 300: grad_norm=0.1203, loss=0.0234, param_norm=1803.8634
Step 400: grad_norm=0.1166, loss=0.0186, param_norm=1803.8639
Step 500: grad_norm=0.1223, loss=0.0161, param_norm=1803.8650
Step 600: grad_norm=0.1130, loss=0.0138, param_norm=1803.8658
Step 700: grad_norm=0.1133, loss=0.0129, param_norm=1803.8674
Step 800: grad_norm=0.1014, loss=0.0115, param_norm=1803.8694
Step 900: grad_norm=0.1030, loss=0.0117, param_norm=1803.8716
Step 1000: grad_norm=0.0878, loss=0.0100, param_norm=1803.8737
Step 1100: grad_norm=0.0816, loss=0.0093, param_norm=1803.8762
Step 1200: grad_norm=0.0785, loss=0.0093, param_norm=1803.8792
Step 1300: grad_norm=0.0729, loss=0.0085, param_norm=1803.8828
Step 1400: grad_norm=0.0675, loss=0.0083, param_norm=1803.8868
Step 1500: grad_norm=0.0610, loss=0.0079, param_norm=1803.8912
Step 1600: grad_norm=0.0637, loss=0.0078, param_norm=1803.8959
Step 1700: grad_norm=0.0592, loss=0.0072, param_norm=1803.9009
Step 1800: grad_norm=0.0554, loss=0.0076, param_norm=1803.9062
Step 1900: grad_norm=0.0516, loss=0.0069, param_norm=1803.9121
Step 2000: grad_norm=0.0502, loss=0.0068, param_norm=1803.9187
Step 2100: grad_norm=0.0516, loss=0.0069, param_norm=1803.9255
Step 2200: grad_norm=0.0469, loss=0.0062, param_norm=1803.9321
Step 2300: grad_norm=0.0425, loss=0.0059, param_norm=1803.9390
Step 2400: grad_norm=0.0432, loss=0.0058, param_norm=1803.9459
Step 2500: grad_norm=0.0437, loss=0.0060, param_norm=1803.9521
Step 2600: grad_norm=0.0399, loss=0.0056, param_norm=1803.9589
Step 2700: grad_norm=0.0435, loss=0.0060, param_norm=1803.9659
Step 2800: grad_norm=0.0422, loss=0.0056, param_norm=1803.9727
Step 2900: grad_norm=0.0383, loss=0.0050, param_norm=1803.9788
Step 3000: grad_norm=0.0375, loss=0.0048, param_norm=1803.9852
Step 3100: grad_norm=0.0393, loss=0.0051, param_norm=1803.9919
Step 3200: grad_norm=0.0371, loss=0.0051, param_norm=1803.9987
Step 3300: grad_norm=0.0365, loss=0.0048, param_norm=1804.0052
Step 3400: grad_norm=0.0357, loss=0.0046, param_norm=1804.0114
Step 3500: grad_norm=0.0353, loss=0.0049, param_norm=1804.0181
Step 3600: grad_norm=0.0362, loss=0.0048, param_norm=1804.0240
Step 3700: grad_norm=0.0366, loss=0.0045, param_norm=1804.0303
