Running on: qgpu2003
Thu Aug 20 05:08:42 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 610.43.02              KMD Version: 610.43.02     CUDA UMD Version: 13.3     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-80GB          On  |   00000000:E3:00.0 Off |                    0 |
| N/A   45C    P0             65W /  500W |       0MiB /  81920MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Step 0: grad_norm=0.1548, loss=0.0506, param_norm=1803.7705
Step 100: grad_norm=0.1626, loss=0.0450, param_norm=1803.7704
Step 200: grad_norm=0.1387, loss=0.0304, param_norm=1803.7708
Step 300: grad_norm=0.1355, loss=0.0196, param_norm=1803.7712
Step 400: grad_norm=0.1226, loss=0.0131, param_norm=1803.7721
Step 500: grad_norm=0.1102, loss=0.0099, param_norm=1803.7734
Step 600: grad_norm=0.0971, loss=0.0080, param_norm=1803.7749
Step 700: grad_norm=0.0800, loss=0.0067, param_norm=1803.7767
Step 800: grad_norm=0.0743, loss=0.0059, param_norm=1803.7784
Step 900: grad_norm=0.0649, loss=0.0051, param_norm=1803.7803
Step 1000: grad_norm=0.0605, loss=0.0047, param_norm=1803.7827
Step 1100: grad_norm=0.0527, loss=0.0044, param_norm=1803.7852
Step 1200: grad_norm=0.0504, loss=0.0040, param_norm=1803.7875
Step 1300: grad_norm=0.0460, loss=0.0036, param_norm=1803.7903
Step 1400: grad_norm=0.0441, loss=0.0038, param_norm=1803.7935
Step 1500: grad_norm=0.0444, loss=0.0036, param_norm=1803.7965
Step 1600: grad_norm=0.0380, loss=0.0033, param_norm=1803.7999
Step 1700: grad_norm=0.0373, loss=0.0033, param_norm=1803.8041
Step 1800: grad_norm=0.0339, loss=0.0030, param_norm=1803.8083
Step 1900: grad_norm=0.0347, loss=0.0029, param_norm=1803.8127
Step 2000: grad_norm=0.0324, loss=0.0027, param_norm=1803.8177
Step 2100: grad_norm=0.0328, loss=0.0028, param_norm=1803.8228
Step 2200: grad_norm=0.0314, loss=0.0028, param_norm=1803.8278
Step 2300: grad_norm=0.0289, loss=0.0025, param_norm=1803.8331
Step 2400: grad_norm=0.0280, loss=0.0024, param_norm=1803.8383
Step 2500: grad_norm=0.0281, loss=0.0022, param_norm=1803.8433
Step 2600: grad_norm=0.0285, loss=0.0025, param_norm=1803.8485
Step 2700: grad_norm=0.0294, loss=0.0025, param_norm=1803.8540
Step 2800: grad_norm=0.0269, loss=0.0023, param_norm=1803.8596
Step 2900: grad_norm=0.0277, loss=0.0024, param_norm=1803.8644
Step 3000: grad_norm=0.0268, loss=0.0022, param_norm=1803.8696
Step 3100: grad_norm=0.0246, loss=0.0019, param_norm=1803.8750
Step 3200: grad_norm=0.0272, loss=0.0023, param_norm=1803.8800
Step 3300: grad_norm=0.0250, loss=0.0019, param_norm=1803.8850
Step 3400: grad_norm=0.0247, loss=0.0019, param_norm=1803.8898
Step 3500: grad_norm=0.0246, loss=0.0019, param_norm=1803.8943
Step 3600: grad_norm=0.0255, loss=0.0020, param_norm=1803.8990
Step 3700: grad_norm=0.0260, loss=0.0020, param_norm=1803.9037
Step 3800: grad_norm=0.0246, loss=0.0019, param_norm=1803.9084
Step 3900: grad_norm=0.0235, loss=0.0017, param_norm=1803.9127
Step 4000: grad_norm=0.0232, loss=0.0017, param_norm=1803.9175
Step 4100: grad_norm=0.0222, loss=0.0016, param_norm=1803.9220
Step 4200: grad_norm=0.0254, loss=0.0019, param_norm=1803.9265
Step 4300: grad_norm=0.0225, loss=0.0016, param_norm=1803.9310
Step 4400: grad_norm=0.0256, loss=0.0017, param_norm=1803.9353
Step 4500: grad_norm=0.0243, loss=0.0016, param_norm=1803.9393
Step 4600: grad_norm=0.0219, loss=0.0015, param_norm=1803.9437
Step 4700: grad_norm=0.0227, loss=0.0015, param_norm=1803.9478
Step 4800: grad_norm=0.0225, loss=0.0016, param_norm=1803.9525
Step 4900: grad_norm=0.0222, loss=0.0016, param_norm=1803.9565
Step 5000: grad_norm=0.0219, loss=0.0015, param_norm=1803.9609
Step 5100: grad_norm=0.0216, loss=0.0014, param_norm=1803.9650
Step 5200: grad_norm=0.0243, loss=0.0017, param_norm=1803.9695
Step 5300: grad_norm=0.0211, loss=0.0015, param_norm=1803.9738
Step 5400: grad_norm=0.0213, loss=0.0015, param_norm=1803.9774
Step 5500: grad_norm=0.0227, loss=0.0016, param_norm=1803.9816
Step 5600: grad_norm=0.0212, loss=0.0014, param_norm=1803.9852
Step 5700: grad_norm=0.0208, loss=0.0013, param_norm=1803.9885
Step 5800: grad_norm=0.0218, loss=0.0015, param_norm=1803.9922
Step 5900: grad_norm=0.0220, loss=0.0014, param_norm=1803.9958
Step 6000: grad_norm=0.0194, loss=0.0013, param_norm=1803.9994
Step 6100: grad_norm=0.0211, loss=0.0014, param_norm=1804.0034
Step 6200: grad_norm=0.0214, loss=0.0014, param_norm=1804.0072
Step 6300: grad_norm=0.0207, loss=0.0014, param_norm=1804.0103
Step 6400: grad_norm=0.0211, loss=0.0014, param_norm=1804.0137
Step 6500: grad_norm=0.0204, loss=0.0012, param_norm=1804.0175
Step 6600: grad_norm=0.0200, loss=0.0013, param_norm=1804.0209
Step 6700: grad_norm=0.0203, loss=0.0013, param_norm=1804.0240
Step 6800: grad_norm=0.0220, loss=0.0013, param_norm=1804.0275
Step 6900: grad_norm=0.0200, loss=0.0012, param_norm=1804.0309
Step 7000: grad_norm=0.0211, loss=0.0013, param_norm=1804.0342
Step 7100: grad_norm=0.0215, loss=0.0013, param_norm=1804.0375
Step 7200: grad_norm=0.0208, loss=0.0013, param_norm=1804.0409
Step 7300: grad_norm=0.0204, loss=0.0012, param_norm=1804.0437
Step 7400: grad_norm=0.0209, loss=0.0012, param_norm=1804.0466
Step 7500: grad_norm=0.0229, loss=0.0014, param_norm=1804.0497
Step 7600: grad_norm=0.0208, loss=0.0012, param_norm=1804.0527
Step 7700: grad_norm=0.0207, loss=0.0013, param_norm=1804.0559
Step 7800: grad_norm=0.0198, loss=0.0012, param_norm=1804.0586
Step 7900: grad_norm=0.0187, loss=0.0011, param_norm=1804.0615
Step 8000: grad_norm=0.0190, loss=0.0011, param_norm=1804.0642
Step 8100: grad_norm=0.0208, loss=0.0012, param_norm=1804.0669
Step 8200: grad_norm=0.0184, loss=0.0011, param_norm=1804.0697
Step 8300: grad_norm=0.0195, loss=0.0011, param_norm=1804.0718
Step 8400: grad_norm=0.0186, loss=0.0011, param_norm=1804.0750
Step 8500: grad_norm=0.0212, loss=0.0012, param_norm=1804.0775
Step 8600: grad_norm=0.0208, loss=0.0012, param_norm=1804.0800
Step 8700: grad_norm=0.0207, loss=0.0012, param_norm=1804.0826
Step 8800: grad_norm=0.0196, loss=0.0011, param_norm=1804.0850
Step 8900: grad_norm=0.0202, loss=0.0012, param_norm=1804.0874
Step 9000: grad_norm=0.0212, loss=0.0011, param_norm=1804.0900
Step 9100: grad_norm=0.0186, loss=0.0010, param_norm=1804.0924
Step 9200: grad_norm=0.0184, loss=0.0010, param_norm=1804.0944
Step 9300: grad_norm=0.0194, loss=0.0011, param_norm=1804.0966
Step 9400: grad_norm=0.0190, loss=0.0010, param_norm=1804.0984
Step 9500: grad_norm=0.0185, loss=0.0010, param_norm=1804.1002
Step 9600: grad_norm=0.0200, loss=0.0011, param_norm=1804.1028
Step 9700: grad_norm=0.0180, loss=0.0010, param_norm=1804.1045
Step 9800: grad_norm=0.0188, loss=0.0010, param_norm=1804.1068
Step 9900: grad_norm=0.0185, loss=0.0010, param_norm=1804.1088
Step 10000: grad_norm=0.0189, loss=0.0010, param_norm=1804.1107
Step 10100: grad_norm=0.0175, loss=0.0009, param_norm=1804.1128
Step 10200: grad_norm=0.0194, loss=0.0010, param_norm=1804.1146
Step 10300: grad_norm=0.0185, loss=0.0010, param_norm=1804.1162
Step 10400: grad_norm=0.0183, loss=0.0010, param_norm=1804.1180
Step 10500: grad_norm=0.0193, loss=0.0010, param_norm=1804.1200
Step 10600: grad_norm=0.0177, loss=0.0009, param_norm=1804.1213
Step 10700: grad_norm=0.0191, loss=0.0010, param_norm=1804.1228
Step 10800: grad_norm=0.0184, loss=0.0010, param_norm=1804.1244
Step 10900: grad_norm=0.0167, loss=0.0008, param_norm=1804.1259
Step 11000: grad_norm=0.0177, loss=0.0009, param_norm=1804.1274
Step 11100: grad_norm=0.0186, loss=0.0009, param_norm=1804.1289
Step 11200: grad_norm=0.0186, loss=0.0010, param_norm=1804.1304
Step 11300: grad_norm=0.0175, loss=0.0009, param_norm=1804.1322
Step 11400: grad_norm=0.0181, loss=0.0009, param_norm=1804.1331
Step 11500: grad_norm=0.0163, loss=0.0008, param_norm=1804.1343
Step 11600: grad_norm=0.0186, loss=0.0009, param_norm=1804.1357
Step 11700: grad_norm=0.0173, loss=0.0009, param_norm=1804.1370
Step 11800: grad_norm=0.0178, loss=0.0009, param_norm=1804.1384
Step 11900: grad_norm=0.0192, loss=0.0009, param_norm=1804.1396
Step 12000: grad_norm=0.0183, loss=0.0009, param_norm=1804.1406
Step 12100: grad_norm=0.0172, loss=0.0008, param_norm=1804.1421
Step 12200: grad_norm=0.0184, loss=0.0009, param_norm=1804.1431
Step 12300: grad_norm=0.0177, loss=0.0009, param_norm=1804.1443
Step 12400: grad_norm=0.0172, loss=0.0008, param_norm=1804.1454
Step 12500: grad_norm=0.0172, loss=0.0008, param_norm=1804.1469
Step 12600: grad_norm=0.0165, loss=0.0008, param_norm=1804.1478
Step 12700: grad_norm=0.0185, loss=0.0009, param_norm=1804.1484
Step 12800: grad_norm=0.0172, loss=0.0009, param_norm=1804.1497
Step 12900: grad_norm=0.0168, loss=0.0008, param_norm=1804.1503
Step 13000: grad_norm=0.0170, loss=0.0008, param_norm=1804.1514
Step 13100: grad_norm=0.0181, loss=0.0009, param_norm=1804.1523
Step 13200: grad_norm=0.0176, loss=0.0008, param_norm=1804.1532
Step 13300: grad_norm=0.0168, loss=0.0007, param_norm=1804.1541
Step 13400: grad_norm=0.0166, loss=0.0008, param_norm=1804.1547
Step 13500: grad_norm=0.0173, loss=0.0007, param_norm=1804.1553
Step 13600: grad_norm=0.0200, loss=0.0009, param_norm=1804.1562
Step 13700: grad_norm=0.0169, loss=0.0007, param_norm=1804.1569
Step 13800: grad_norm=0.0179, loss=0.0008, param_norm=1804.1577
Step 13900: grad_norm=0.0167, loss=0.0007, param_norm=1804.1584
Step 14000: grad_norm=0.0168, loss=0.0007, param_norm=1804.1591
Step 14100: grad_norm=0.0162, loss=0.0006, param_norm=1804.1595
Step 14200: grad_norm=0.0155, loss=0.0007, param_norm=1804.1602
Step 14300: grad_norm=0.0188, loss=0.0008, param_norm=1804.1608
Step 14400: grad_norm=0.0166, loss=0.0007, param_norm=1804.1615
Step 14500: grad_norm=0.0167, loss=0.0007, param_norm=1804.1621
Step 14600: grad_norm=0.0157, loss=0.0007, param_norm=1804.1625
Step 14700: grad_norm=0.0157, loss=0.0007, param_norm=1804.1631
Step 14800: grad_norm=0.0167, loss=0.0007, param_norm=1804.1637
Step 14900: grad_norm=0.0184, loss=0.0008, param_norm=1804.1641
Step 15000: grad_norm=0.0169, loss=0.0007, param_norm=1804.1643
Step 15100: grad_norm=0.0164, loss=0.0007, param_norm=1804.1649
Step 15200: grad_norm=0.0154, loss=0.0007, param_norm=1804.1649
Step 15300: grad_norm=0.0158, loss=0.0006, param_norm=1804.1659
Step 15400: grad_norm=0.0182, loss=0.0007, param_norm=1804.1663
Step 15500: grad_norm=0.0147, loss=0.0006, param_norm=1804.1665
Step 15600: grad_norm=0.0174, loss=0.0007, param_norm=1804.1670
Step 15700: grad_norm=0.0179, loss=0.0007, param_norm=1804.1674
Step 15800: grad_norm=0.0152, loss=0.0007, param_norm=1804.1676
Step 15900: grad_norm=0.0147, loss=0.0006, param_norm=1804.1681
Step 16000: grad_norm=0.0144, loss=0.0006, param_norm=1804.1686
Step 16100: grad_norm=0.0162, loss=0.0006, param_norm=1804.1688
Step 16200: grad_norm=0.0160, loss=0.0007, param_norm=1804.1688
Step 16300: grad_norm=0.0143, loss=0.0006, param_norm=1804.1692
Step 16400: grad_norm=0.0151, loss=0.0006, param_norm=1804.1697
Step 16500: grad_norm=0.0175, loss=0.0006, param_norm=1804.1699
Step 16600: grad_norm=0.0165, loss=0.0007, param_norm=1804.1703
Step 16700: grad_norm=0.0137, loss=0.0006, param_norm=1804.1705
Step 16800: grad_norm=0.0145, loss=0.0006, param_norm=1804.1709
Step 16900: grad_norm=0.0163, loss=0.0007, param_norm=1804.1709
Step 17000: grad_norm=0.0144, loss=0.0006, param_norm=1804.1713
Step 17100: grad_norm=0.0157, loss=0.0006, param_norm=1804.1713
Step 17200: grad_norm=0.0138, loss=0.0005, param_norm=1804.1713
Step 17300: grad_norm=0.0143, loss=0.0006, param_norm=1804.1715
Step 17400: grad_norm=0.0146, loss=0.0006, param_norm=1804.1719
Step 17500: grad_norm=0.0153, loss=0.0006, param_norm=1804.1721
Step 17600: grad_norm=0.0154, loss=0.0006, param_norm=1804.1721
Step 17700: grad_norm=0.0148, loss=0.0006, param_norm=1804.1725
Step 17800: grad_norm=0.0141, loss=0.0006, param_norm=1804.1727
Step 17900: grad_norm=0.0155, loss=0.0006, param_norm=1804.1727
Step 18000: grad_norm=0.0144, loss=0.0006, param_norm=1804.1731
Step 18100: grad_norm=0.0143, loss=0.0006, param_norm=1804.1731
Step 18200: grad_norm=0.0130, loss=0.0006, param_norm=1804.1733
Step 18300: grad_norm=0.0158, loss=0.0006, param_norm=1804.1733
Step 18400: grad_norm=0.0139, loss=0.0006, param_norm=1804.1737
Step 18500: grad_norm=0.0157, loss=0.0007, param_norm=1804.1737
Step 18600: grad_norm=0.0131, loss=0.0005, param_norm=1804.1741
Step 18700: grad_norm=0.0154, loss=0.0007, param_norm=1804.1742
Step 18800: grad_norm=0.0133, loss=0.0006, param_norm=1804.1743
Step 18900: grad_norm=0.0124, loss=0.0005, param_norm=1804.1744
Step 19000: grad_norm=0.0137, loss=0.0006, param_norm=1804.1744
Step 19100: grad_norm=0.0141, loss=0.0006, param_norm=1804.1748
Step 19200: grad_norm=0.0128, loss=0.0005, param_norm=1804.1749
Step 19300: grad_norm=0.0125, loss=0.0005, param_norm=1804.1752
Step 19400: grad_norm=0.0127, loss=0.0005, param_norm=1804.1752
Step 19500: grad_norm=0.0154, loss=0.0006, param_norm=1804.1752
Step 19600: grad_norm=0.0133, loss=0.0006, param_norm=1804.1754
Step 19700: grad_norm=0.0139, loss=0.0006, param_norm=1804.1754
Step 19800: grad_norm=0.0134, loss=0.0006, param_norm=1804.1755
Step 19900: grad_norm=0.0141, loss=0.0006, param_norm=1804.1758
[1;34mwandb[0m: 
[1;34mwandb[0m: 🚀 View run [33mEXP1_1_20k_a100[0m at: [34mhttps://wandb.ai/mdahmad2026-northwestern-university/openpi/runs/k0qxbnux[0m
[1;34mwandb[0m: Find logs at: [1;35mwandb/run-20260820_050958-k0qxbnux/logs[0m
