Running on: qgpu0404
Thu Aug 20 05:16:05 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 610.43.02              KMD Version: 610.43.02     CUDA UMD Version: 13.3     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-PCIE-40GB          On  |   00000000:2F:00.0 Off |                    0 |
| N/A   36C    P0             35W /  250W |       0MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Step 0: grad_norm=0.1504, loss=0.0507, param_norm=1803.7705
Step 100: grad_norm=0.1589, loss=0.0431, param_norm=1803.7704
Step 200: grad_norm=0.1341, loss=0.0296, param_norm=1803.7708
Step 300: grad_norm=0.1379, loss=0.0201, param_norm=1803.7712
Step 400: grad_norm=0.1269, loss=0.0143, param_norm=1803.7721
Step 500: grad_norm=0.1174, loss=0.0114, param_norm=1803.7731
Step 600: grad_norm=0.0960, loss=0.0090, param_norm=1803.7743
Step 700: grad_norm=0.0866, loss=0.0079, param_norm=1803.7760
Step 800: grad_norm=0.0834, loss=0.0076, param_norm=1803.7778
Step 900: grad_norm=0.0748, loss=0.0065, param_norm=1803.7799
Step 1000: grad_norm=0.0790, loss=0.0071, param_norm=1803.7821
Step 1100: grad_norm=0.0623, loss=0.0055, param_norm=1803.7845
Step 1200: grad_norm=0.0579, loss=0.0053, param_norm=1803.7875
Step 1300: grad_norm=0.0628, loss=0.0055, param_norm=1803.7905
Step 1400: grad_norm=0.0520, loss=0.0048, param_norm=1803.7941
Step 1500: grad_norm=0.0463, loss=0.0044, param_norm=1803.7975
Step 1600: grad_norm=0.0511, loss=0.0047, param_norm=1803.8015
Step 1700: grad_norm=0.0424, loss=0.0043, param_norm=1803.8065
Step 1800: grad_norm=0.0413, loss=0.0041, param_norm=1803.8109
Step 1900: grad_norm=0.0396, loss=0.0037, param_norm=1803.8159
Step 2000: grad_norm=0.0402, loss=0.0035, param_norm=1803.8212
Step 2100: grad_norm=0.0382, loss=0.0039, param_norm=1803.8268
Step 2200: grad_norm=0.0363, loss=0.0036, param_norm=1803.8325
Step 2300: grad_norm=0.0369, loss=0.0036, param_norm=1803.8381
Step 2400: grad_norm=0.0326, loss=0.0032, param_norm=1803.8444
Step 2500: grad_norm=0.0351, loss=0.0031, param_norm=1803.8502
Step 2600: grad_norm=0.0331, loss=0.0033, param_norm=1803.8560
Step 2700: grad_norm=0.0333, loss=0.0032, param_norm=1803.8616
Step 2800: grad_norm=0.0301, loss=0.0028, param_norm=1803.8672
Step 2900: grad_norm=0.0325, loss=0.0030, param_norm=1803.8728
Step 3000: grad_norm=0.0292, loss=0.0027, param_norm=1803.8783
Step 3100: grad_norm=0.0302, loss=0.0032, param_norm=1803.8840
Step 3200: grad_norm=0.0296, loss=0.0029, param_norm=1803.8893
Step 3300: grad_norm=0.0266, loss=0.0024, param_norm=1803.8948
Step 3400: grad_norm=0.0278, loss=0.0026, param_norm=1803.8998
Step 3500: grad_norm=0.0273, loss=0.0026, param_norm=1803.9056
Step 3600: grad_norm=0.0294, loss=0.0026, param_norm=1803.9106
Step 3700: grad_norm=0.0321, loss=0.0026, param_norm=1803.9159
Step 3800: grad_norm=0.0269, loss=0.0023, param_norm=1803.9205
Step 3900: grad_norm=0.0249, loss=0.0021, param_norm=1803.9253
Step 4000: grad_norm=0.0278, loss=0.0023, param_norm=1803.9304
Step 4100: grad_norm=0.0268, loss=0.0023, param_norm=1803.9353
Step 4200: grad_norm=0.0270, loss=0.0025, param_norm=1803.9403
Step 4300: grad_norm=0.0256, loss=0.0022, param_norm=1803.9453
Step 4400: grad_norm=0.0281, loss=0.0023, param_norm=1803.9506
Step 4500: grad_norm=0.0257, loss=0.0021, param_norm=1803.9554
Step 4600: grad_norm=0.0239, loss=0.0019, param_norm=1803.9596
Step 4700: grad_norm=0.0253, loss=0.0020, param_norm=1803.9640
Step 4800: grad_norm=0.0238, loss=0.0019, param_norm=1803.9684
Step 4900: grad_norm=0.0253, loss=0.0022, param_norm=1803.9731
Step 5000: grad_norm=0.0250, loss=0.0020, param_norm=1803.9778
Step 5100: grad_norm=0.0235, loss=0.0020, param_norm=1803.9824
Step 5200: grad_norm=0.0262, loss=0.0020, param_norm=1803.9872
Step 5300: grad_norm=0.0247, loss=0.0018, param_norm=1803.9916
Step 5400: grad_norm=0.0249, loss=0.0020, param_norm=1803.9958
Step 5500: grad_norm=0.0282, loss=0.0021, param_norm=1804.0009
Step 5600: grad_norm=0.0258, loss=0.0019, param_norm=1804.0052
Step 5700: grad_norm=0.0232, loss=0.0016, param_norm=1804.0096
Step 5800: grad_norm=0.0240, loss=0.0017, param_norm=1804.0134
Step 5900: grad_norm=0.0260, loss=0.0018, param_norm=1804.0178
Step 6000: grad_norm=0.0236, loss=0.0016, param_norm=1804.0215
Step 6100: grad_norm=0.0240, loss=0.0018, param_norm=1804.0256
Step 6200: grad_norm=0.0236, loss=0.0018, param_norm=1804.0297
Step 6300: grad_norm=0.0267, loss=0.0020, param_norm=1804.0337
Step 6400: grad_norm=0.0222, loss=0.0016, param_norm=1804.0382
Step 6500: grad_norm=0.0230, loss=0.0015, param_norm=1804.0421
Step 6600: grad_norm=0.0227, loss=0.0018, param_norm=1804.0453
Step 6700: grad_norm=0.0228, loss=0.0017, param_norm=1804.0487
Step 6800: grad_norm=0.0253, loss=0.0018, param_norm=1804.0527
Step 6900: grad_norm=0.0202, loss=0.0014, param_norm=1804.0565
Step 7000: grad_norm=0.0235, loss=0.0016, param_norm=1804.0599
Step 7100: grad_norm=0.0226, loss=0.0016, param_norm=1804.0637
Step 7200: grad_norm=0.0225, loss=0.0017, param_norm=1804.0671
Step 7300: grad_norm=0.0251, loss=0.0017, param_norm=1804.0712
Step 7400: grad_norm=0.0212, loss=0.0014, param_norm=1804.0750
Step 7500: grad_norm=0.0264, loss=0.0020, param_norm=1804.0784
Step 7600: grad_norm=0.0221, loss=0.0015, param_norm=1804.0818
Step 7700: grad_norm=0.0227, loss=0.0014, param_norm=1804.0848
Step 7800: grad_norm=0.0257, loss=0.0015, param_norm=1804.0881
Step 7900: grad_norm=0.0204, loss=0.0013, param_norm=1804.0913
Step 8000: grad_norm=0.0282, loss=0.0016, param_norm=1804.0944
Step 8100: grad_norm=0.0243, loss=0.0015, param_norm=1804.0968
Step 8200: grad_norm=0.0223, loss=0.0018, param_norm=1804.1000
Step 8300: grad_norm=0.0209, loss=0.0013, param_norm=1804.1030
Step 8400: grad_norm=0.0223, loss=0.0014, param_norm=1804.1055
Step 8500: grad_norm=0.0219, loss=0.0014, param_norm=1804.1079
Step 8600: grad_norm=0.0223, loss=0.0014, param_norm=1804.1107
Step 8700: grad_norm=0.0222, loss=0.0014, param_norm=1804.1135
Step 8800: grad_norm=0.0238, loss=0.0015, param_norm=1804.1162
Step 8900: grad_norm=0.0228, loss=0.0014, param_norm=1804.1185
Step 9000: grad_norm=0.0231, loss=0.0015, param_norm=1804.1213
Step 9100: grad_norm=0.0208, loss=0.0013, param_norm=1804.1240
Step 9200: grad_norm=0.0200, loss=0.0012, param_norm=1804.1265
Step 9300: grad_norm=0.0213, loss=0.0013, param_norm=1804.1285
