Running on: qgpu2009
Wed Aug 19 16:05:53 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 610.43.02              KMD Version: 610.43.02     CUDA UMD Version: 13.3     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-80GB          On  |   00000000:CA:00.0 Off |                    0 |
| N/A   45C    P0             65W /  500W |       0MiB /  81920MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Step 0: grad_norm=0.1816, loss=0.0566, param_norm=1803.7705
Step 100: grad_norm=0.1569, loss=0.0421, param_norm=1803.7704
Step 200: grad_norm=0.1219, loss=0.0284, param_norm=1803.7709
Step 300: grad_norm=0.1062, loss=0.0186, param_norm=1803.7719
Step 400: grad_norm=0.1058, loss=0.0136, param_norm=1803.7734
Step 500: grad_norm=0.0883, loss=0.0111, param_norm=1803.7756
Step 600: grad_norm=0.0818, loss=0.0097, param_norm=1803.7784
Step 700: grad_norm=0.0679, loss=0.0086, param_norm=1803.7821
Step 800: grad_norm=0.0678, loss=0.0081, param_norm=1803.7863
Step 900: grad_norm=0.0598, loss=0.0068, param_norm=1803.7913
Step 1000: grad_norm=0.0530, loss=0.0063, param_norm=1803.7969
Step 1100: grad_norm=0.0479, loss=0.0060, param_norm=1803.8032
Step 1200: grad_norm=0.0450, loss=0.0054, param_norm=1803.8103
Step 1300: grad_norm=0.0472, loss=0.0055, param_norm=1803.8167
Step 1400: grad_norm=0.0420, loss=0.0048, param_norm=1803.8228
Step 1500: grad_norm=0.0378, loss=0.0044, param_norm=1803.8286
Step 1600: grad_norm=0.0405, loss=0.0045, param_norm=1803.8346
Step 1700: grad_norm=0.0383, loss=0.0046, param_norm=1803.8409
Step 1800: grad_norm=0.0340, loss=0.0036, param_norm=1803.8467
Step 1900: grad_norm=0.0341, loss=0.0038, param_norm=1803.8524
Step 2000: grad_norm=0.0344, loss=0.0035, param_norm=1803.8580
Step 2100: grad_norm=0.0337, loss=0.0038, param_norm=1803.8635
Step 2200: grad_norm=0.0338, loss=0.0034, param_norm=1803.8687
Step 2300: grad_norm=0.0319, loss=0.0034, param_norm=1803.8740
Step 2400: grad_norm=0.0311, loss=0.0034, param_norm=1803.8792
Step 2500: grad_norm=0.0306, loss=0.0029, param_norm=1803.8840
Step 2600: grad_norm=0.0333, loss=0.0037, param_norm=1803.8887
Step 2700: grad_norm=0.0324, loss=0.0031, param_norm=1803.8937
Step 2800: grad_norm=0.0275, loss=0.0026, param_norm=1803.8981
Step 2900: grad_norm=0.0317, loss=0.0031, param_norm=1803.9025
Step 3000: grad_norm=0.0290, loss=0.0029, param_norm=1803.9071
Step 3100: grad_norm=0.0265, loss=0.0024, param_norm=1803.9113
Step 3200: grad_norm=0.0325, loss=0.0032, param_norm=1803.9159
Step 3300: grad_norm=0.0279, loss=0.0026, param_norm=1803.9199
Step 3400: grad_norm=0.0259, loss=0.0023, param_norm=1803.9241
Step 3500: grad_norm=0.0273, loss=0.0026, param_norm=1803.9282
Step 3600: grad_norm=0.0273, loss=0.0026, param_norm=1803.9321
Step 3700: grad_norm=0.0272, loss=0.0025, param_norm=1803.9359
Step 3800: grad_norm=0.0274, loss=0.0025, param_norm=1803.9393
Step 3900: grad_norm=0.0250, loss=0.0020, param_norm=1803.9427
Step 4000: grad_norm=0.0261, loss=0.0024, param_norm=1803.9464
Step 4100: grad_norm=0.0267, loss=0.0023, param_norm=1803.9500
Step 4200: grad_norm=0.0280, loss=0.0027, param_norm=1803.9531
Step 4300: grad_norm=0.0276, loss=0.0023, param_norm=1803.9559
Step 4400: grad_norm=0.0271, loss=0.0021, param_norm=1803.9590
Step 4500: grad_norm=0.0247, loss=0.0019, param_norm=1803.9622
Step 4600: grad_norm=0.0246, loss=0.0019, param_norm=1803.9651
Step 4700: grad_norm=0.0239, loss=0.0018, param_norm=1803.9674
Step 4800: grad_norm=0.0254, loss=0.0022, param_norm=1803.9702
Step 4900: grad_norm=0.0246, loss=0.0019, param_norm=1803.9728
Step 5000: grad_norm=0.0264, loss=0.0021, param_norm=1803.9750
