Running on: qgpu3006
Mon Aug 17 23:23:25 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 610.43.02              KMD Version: 610.43.02     CUDA UMD Version: 13.3     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:55:00.0 Off |                    0 |
| N/A   43C    P0             70W /  700W |       0MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Step 0: grad_norm=0.1598, loss=0.0474, param_norm=1803.8630
Step 100: grad_norm=0.1657, loss=0.0445, param_norm=1803.8630
Step 200: grad_norm=0.1230, loss=0.0292, param_norm=1803.8633
Step 300: grad_norm=0.1044, loss=0.0192, param_norm=1803.8644
Step 400: grad_norm=0.0993, loss=0.0136, param_norm=1803.8658
Step 500: grad_norm=0.0866, loss=0.0111, param_norm=1803.8684
Step 600: grad_norm=0.0862, loss=0.0101, param_norm=1803.8716
Step 700: grad_norm=0.0741, loss=0.0091, param_norm=1803.8746
Step 800: grad_norm=0.0608, loss=0.0078, param_norm=1803.8790
Step 900: grad_norm=0.0588, loss=0.0071, param_norm=1803.8842
Step 1000: grad_norm=0.0560, loss=0.0066, param_norm=1803.8895
Step 1100: grad_norm=0.0510, loss=0.0066, param_norm=1803.8965
Step 1200: grad_norm=0.0444, loss=0.0055, param_norm=1803.9028
Step 1300: grad_norm=0.0417, loss=0.0052, param_norm=1803.9091
Step 1400: grad_norm=0.0404, loss=0.0048, param_norm=1803.9153
Step 1500: grad_norm=0.0390, loss=0.0044, param_norm=1803.9213
Step 1600: grad_norm=0.0409, loss=0.0048, param_norm=1803.9275
Step 1700: grad_norm=0.0412, loss=0.0043, param_norm=1803.9336
Step 1800: grad_norm=0.0347, loss=0.0041, param_norm=1803.9393
Step 1900: grad_norm=0.0367, loss=0.0041, param_norm=1803.9445
Step 2000: grad_norm=0.0326, loss=0.0035, param_norm=1803.9500
Step 2100: grad_norm=0.0322, loss=0.0036, param_norm=1803.9553
Step 2200: grad_norm=0.0342, loss=0.0036, param_norm=1803.9606
Step 2300: grad_norm=0.0292, loss=0.0030, param_norm=1803.9655
Step 2400: grad_norm=0.0359, loss=0.0038, param_norm=1803.9706
Step 2500: grad_norm=0.0317, loss=0.0029, param_norm=1803.9756
Step 2600: grad_norm=0.0334, loss=0.0037, param_norm=1803.9810
Step 2700: grad_norm=0.0327, loss=0.0032, param_norm=1803.9858
Step 2800: grad_norm=0.0298, loss=0.0028, param_norm=1803.9902
Step 2900: grad_norm=0.0304, loss=0.0030, param_norm=1803.9946
Step 3000: grad_norm=0.0314, loss=0.0031, param_norm=1803.9987
Step 3100: grad_norm=0.0278, loss=0.0027, param_norm=1804.0034
Step 3200: grad_norm=0.0325, loss=0.0034, param_norm=1804.0072
Step 3300: grad_norm=0.0288, loss=0.0025, param_norm=1804.0112
Step 3400: grad_norm=0.0289, loss=0.0030, param_norm=1804.0150
Step 3500: grad_norm=0.0291, loss=0.0027, param_norm=1804.0190
