Running on: qgpu0405
Mon Aug 17 21:17:40 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 610.43.02              KMD Version: 610.43.02     CUDA UMD Version: 13.3     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-PCIE-40GB          On  |   00000000:2F:00.0 Off |                    0 |
| N/A   22C    P0             30W /  250W |       0MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Step 0: grad_norm=0.2034, loss=0.0399, param_norm=1803.7705
Step 100: grad_norm=0.1147, loss=0.0323, param_norm=1803.7706
Step 200: grad_norm=0.0908, loss=0.0161, param_norm=1803.7725
Step 300: grad_norm=0.0780, loss=0.0115, param_norm=1803.7769
Step 400: grad_norm=0.0705, loss=0.0091, param_norm=1803.7843
Step 500: grad_norm=0.0583, loss=0.0074, param_norm=1803.7919
Step 600: grad_norm=0.0571, loss=0.0072, param_norm=1803.7991
Step 700: grad_norm=0.0477, loss=0.0062, param_norm=1803.8059
Step 800: grad_norm=0.0402, loss=0.0051, param_norm=1803.8125
Step 900: grad_norm=0.0414, loss=0.0049, param_norm=1803.8182
Step 1000: grad_norm=0.0380, loss=0.0048, param_norm=1803.8237
Step 1100: grad_norm=0.0378, loss=0.0046, param_norm=1803.8290
Step 1200: grad_norm=0.0330, loss=0.0040, param_norm=1803.8335
Step 1300: grad_norm=0.0342, loss=0.0038, param_norm=1803.8374
Step 1400: grad_norm=0.0328, loss=0.0037, param_norm=1803.8412
Step 1500: grad_norm=0.0306, loss=0.0033, param_norm=1803.8448
Step 1600: grad_norm=0.0311, loss=0.0035, param_norm=1803.8474
Step 1700: grad_norm=0.0325, loss=0.0034, param_norm=1803.8502
Step 1800: grad_norm=0.0299, loss=0.0031, param_norm=1803.8524
Step 1900: grad_norm=0.0298, loss=0.0032, param_norm=1803.8541
Step 2000: grad_norm=0.0280, loss=0.0027, param_norm=1803.8557
Step 2100: grad_norm=0.0282, loss=0.0026, param_norm=1803.8572
Step 2200: grad_norm=0.0280, loss=0.0025, param_norm=1803.8580
Step 2300: grad_norm=0.0269, loss=0.0024, param_norm=1803.8594
Step 2400: grad_norm=0.0307, loss=0.0027, param_norm=1803.8600
Step 2500: grad_norm=0.0256, loss=0.0022, param_norm=1803.8606
Step 2600: grad_norm=0.0268, loss=0.0024, param_norm=1803.8612
Step 2700: grad_norm=0.0268, loss=0.0023, param_norm=1803.8616
Step 2800: grad_norm=0.0261, loss=0.0023, param_norm=1803.8622
Step 2900: grad_norm=0.0272, loss=0.0026, param_norm=1803.8623
[1;34mwandb[0m: 
[1;34mwandb[0m: 🚀 View run [33mEXP6_10_a100[0m at: [34mhttps://wandb.ai/mdahmad2026-northwestern-university/openpi/runs/4zekxju4[0m
[1;34mwandb[0m: Find logs at: [1;35mwandb/run-20260817_211940-4zekxju4/logs[0m
