Running on: qgpu0204
Wed Aug 19 16:50:58 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 610.43.02              KMD Version: 610.43.02     CUDA UMD Version: 13.3     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-PCIE-40GB          On  |   00000000:06:00.0 Off |                    0 |
| N/A   25C    P0             32W /  250W |       0MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Step 0: grad_norm=0.2001, loss=0.0461, param_norm=1803.7705
Step 100: grad_norm=0.1236, loss=0.0342, param_norm=1803.7706
Step 200: grad_norm=0.0973, loss=0.0180, param_norm=1803.7723
Step 300: grad_norm=0.0830, loss=0.0119, param_norm=1803.7771
Step 400: grad_norm=0.0652, loss=0.0093, param_norm=1803.7847
Step 500: grad_norm=0.0612, loss=0.0084, param_norm=1803.7925
Step 600: grad_norm=0.0501, loss=0.0066, param_norm=1803.7997
Step 700: grad_norm=0.0464, loss=0.0065, param_norm=1803.8062
Step 800: grad_norm=0.0432, loss=0.0056, param_norm=1803.8131
Step 900: grad_norm=0.0428, loss=0.0050, param_norm=1803.8190
Step 1000: grad_norm=0.0362, loss=0.0047, param_norm=1803.8243
Step 1100: grad_norm=0.0361, loss=0.0046, param_norm=1803.8296
Step 1200: grad_norm=0.0318, loss=0.0040, param_norm=1803.8344
Step 1300: grad_norm=0.0309, loss=0.0034, param_norm=1803.8384
Step 1400: grad_norm=0.0324, loss=0.0036, param_norm=1803.8418
Step 1500: grad_norm=0.0331, loss=0.0040, param_norm=1803.8457
Step 1600: grad_norm=0.0293, loss=0.0034, param_norm=1803.8488
Step 1700: grad_norm=0.0313, loss=0.0034, param_norm=1803.8512
Step 1800: grad_norm=0.0268, loss=0.0026, param_norm=1803.8534
Step 1900: grad_norm=0.0276, loss=0.0027, param_norm=1803.8551
Step 2000: grad_norm=0.0259, loss=0.0025, param_norm=1803.8567
Step 2100: grad_norm=0.0293, loss=0.0029, param_norm=1803.8580
Step 2200: grad_norm=0.0263, loss=0.0024, param_norm=1803.8590
Step 2300: grad_norm=0.0288, loss=0.0027, param_norm=1803.8602
Step 2400: grad_norm=0.0276, loss=0.0025, param_norm=1803.8612
Step 2500: grad_norm=0.0281, loss=0.0023, param_norm=1803.8616
Step 2600: grad_norm=0.0255, loss=0.0022, param_norm=1803.8622
Step 2700: grad_norm=0.0262, loss=0.0023, param_norm=1803.8627
Step 2800: grad_norm=0.0270, loss=0.0023, param_norm=1803.8629
Step 2900: grad_norm=0.0245, loss=0.0022, param_norm=1803.8633
[1;34mwandb[0m: 
[1;34mwandb[0m: 🚀 View run [33mEXP7_10_a100[0m at: [34mhttps://wandb.ai/mdahmad2026-northwestern-university/openpi/runs/eaob25e0[0m
[1;34mwandb[0m: Find logs at: [1;35mwandb/run-20260819_165312-eaob25e0/logs[0m
