Running on: qgpu0403
Fri Aug 21 17:31:59 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 610.43.02              KMD Version: 610.43.02     CUDA UMD Version: 13.3     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-PCIE-40GB          On  |   00000000:06:00.0 Off |                    0 |
| N/A   22C    P0             33W /  250W |       0MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Step 0: grad_norm=0.2097, loss=0.0469, param_norm=1803.7705
Step 100: grad_norm=0.1154, loss=0.0321, param_norm=1803.7706
Step 200: grad_norm=0.0868, loss=0.0159, param_norm=1803.7725
Step 300: grad_norm=0.0780, loss=0.0106, param_norm=1803.7775
Step 400: grad_norm=0.0608, loss=0.0084, param_norm=1803.7847
Step 500: grad_norm=0.0486, loss=0.0069, param_norm=1803.7915
Step 600: grad_norm=0.0444, loss=0.0060, param_norm=1803.7983
Step 700: grad_norm=0.0406, loss=0.0052, param_norm=1803.8049
Step 800: grad_norm=0.0388, loss=0.0050, param_norm=1803.8112
Step 900: grad_norm=0.0383, loss=0.0049, param_norm=1803.8173
Step 1000: grad_norm=0.0353, loss=0.0042, param_norm=1803.8225
Step 1100: grad_norm=0.0362, loss=0.0041, param_norm=1803.8278
Step 1200: grad_norm=0.0316, loss=0.0037, param_norm=1803.8325
Step 1300: grad_norm=0.0297, loss=0.0032, param_norm=1803.8367
Step 1400: grad_norm=0.0309, loss=0.0034, param_norm=1803.8406
Step 1500: grad_norm=0.0306, loss=0.0033, param_norm=1803.8440
Step 1600: grad_norm=0.0313, loss=0.0032, param_norm=1803.8468
Step 1700: grad_norm=0.0279, loss=0.0030, param_norm=1803.8496
Step 1800: grad_norm=0.0319, loss=0.0032, param_norm=1803.8518
Step 1900: grad_norm=0.0278, loss=0.0026, param_norm=1803.8538
Step 2000: grad_norm=0.0252, loss=0.0024, param_norm=1803.8551
Step 2100: grad_norm=0.0283, loss=0.0026, param_norm=1803.8563
Step 2200: grad_norm=0.0253, loss=0.0025, param_norm=1803.8574
Step 2300: grad_norm=0.0250, loss=0.0022, param_norm=1803.8584
Step 2400: grad_norm=0.0250, loss=0.0024, param_norm=1803.8590
Step 2500: grad_norm=0.0237, loss=0.0020, param_norm=1803.8596
Step 2600: grad_norm=0.0247, loss=0.0021, param_norm=1803.8602
Step 2700: grad_norm=0.0241, loss=0.0020, param_norm=1803.8606
Step 2800: grad_norm=0.0240, loss=0.0019, param_norm=1803.8612
Step 2900: grad_norm=0.0248, loss=0.0020, param_norm=1803.8612
[1;34mwandb[0m: 
[1;34mwandb[0m: 🚀 View run [33mEXP8_10_a100[0m at: [34mhttps://wandb.ai/mdahmad2026-northwestern-university/openpi/runs/rff7u3js[0m
[1;34mwandb[0m: Find logs at: [1;35mwandb/run-20260821_173409-rff7u3js/logs[0m
