Running on: qgpu3009
Sat Aug 22 02:20:16 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 610.43.02              KMD Version: 610.43.02     CUDA UMD Version: 13.3     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:D4:00.0 Off |                    0 |
| N/A   45C    P0             80W /  700W |       0MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Filesystem      Size  Used Avail Use% Mounted on
gpfs            1.0T  903G  122G  89% /gpfs
Step 0: grad_norm=0.1262, loss=0.0378, param_norm=1803.8630
Step 100: grad_norm=0.1486, loss=0.0405, param_norm=1803.8629
Step 200: grad_norm=0.1110, loss=0.0310, param_norm=1803.8630
Step 300: grad_norm=0.1023, loss=0.0245, param_norm=1803.8635
Step 400: grad_norm=0.0997, loss=0.0200, param_norm=1803.8640
Step 500: grad_norm=0.0981, loss=0.0176, param_norm=1803.8650
Step 600: grad_norm=0.0986, loss=0.0154, param_norm=1803.8658
Step 700: grad_norm=0.0905, loss=0.0133, param_norm=1803.8678
Step 800: grad_norm=0.0889, loss=0.0124, param_norm=1803.8696
Step 900: grad_norm=0.0852, loss=0.0111, param_norm=1803.8718
Step 1000: grad_norm=0.0796, loss=0.0108, param_norm=1803.8744
Step 1100: grad_norm=0.0762, loss=0.0101, param_norm=1803.8772
Step 1200: grad_norm=0.0740, loss=0.0093, param_norm=1803.8802
Step 1300: grad_norm=0.0650, loss=0.0085, param_norm=1803.8837
Step 1400: grad_norm=0.0649, loss=0.0085, param_norm=1803.8875
Step 1500: grad_norm=0.0642, loss=0.0081, param_norm=1803.8918
Step 1600: grad_norm=0.0572, loss=0.0076, param_norm=1803.8967
Step 1700: grad_norm=0.0548, loss=0.0076, param_norm=1803.9019
Step 1800: grad_norm=0.0526, loss=0.0072, param_norm=1803.9077
Step 1900: grad_norm=0.0527, loss=0.0072, param_norm=1803.9138
