Running on: qgpu3010
Wed Aug 19 00:53:08 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 610.43.02              KMD Version: 610.43.02     CUDA UMD Version: 13.3     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:55:00.0 Off |                    0 |
| N/A   44C    P0             72W /  700W |       0MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Filesystem      Size  Used Avail Use% Mounted on
gpfs            1.0T  860G  165G  84% /gpfs
Step 0: grad_norm=0.1482, loss=0.0417, param_norm=1803.8630
Step 100: grad_norm=0.1463, loss=0.0373, param_norm=1803.8629
Step 200: grad_norm=0.1138, loss=0.0315, param_norm=1803.8629
Step 300: grad_norm=0.1055, loss=0.0279, param_norm=1803.8630
Step 400: grad_norm=0.1002, loss=0.0254, param_norm=1803.8633
Step 500: grad_norm=0.1033, loss=0.0218, param_norm=1803.8635
Step 600: grad_norm=0.1059, loss=0.0206, param_norm=1803.8641
Step 700: grad_norm=0.1020, loss=0.0192, param_norm=1803.8646
Step 800: grad_norm=0.1001, loss=0.0171, param_norm=1803.8652
Step 900: grad_norm=0.1063, loss=0.0179, param_norm=1803.8658
Step 1000: grad_norm=0.0893, loss=0.0150, param_norm=1803.8672
Step 1100: grad_norm=0.0950, loss=0.0165, param_norm=1803.8687
Step 1200: grad_norm=0.0860, loss=0.0144, param_norm=1803.8701
Step 1300: grad_norm=0.0821, loss=0.0141, param_norm=1803.8718
Step 1400: grad_norm=0.0782, loss=0.0131, param_norm=1803.8737
Step 1500: grad_norm=0.0772, loss=0.0132, param_norm=1803.8759
Step 1600: grad_norm=0.0755, loss=0.0135, param_norm=1803.8784
Step 1700: grad_norm=0.0754, loss=0.0130, param_norm=1803.8806
Step 1800: grad_norm=0.0768, loss=0.0138, param_norm=1803.8837
Step 1900: grad_norm=0.0630, loss=0.0135, param_norm=1803.8870
Step 2000: grad_norm=0.0627, loss=0.0122, param_norm=1803.8900
Step 2100: grad_norm=0.0658, loss=0.0124, param_norm=1803.8934
Step 2200: grad_norm=0.0559, loss=0.0110, param_norm=1803.8971
Step 2300: grad_norm=0.0568, loss=0.0110, param_norm=1803.9012
Step 2400: grad_norm=0.0533, loss=0.0111, param_norm=1803.9056
Step 2500: grad_norm=0.0534, loss=0.0107, param_norm=1803.9099
Step 2600: grad_norm=0.0539, loss=0.0108, param_norm=1803.9149
Step 2700: grad_norm=0.0535, loss=0.0114, param_norm=1803.9199
Step 2800: grad_norm=0.0523, loss=0.0109, param_norm=1803.9253
Step 2900: grad_norm=0.0502, loss=0.0109, param_norm=1803.9319
Step 3000: grad_norm=0.0500, loss=0.0104, param_norm=1803.9381
Step 3100: grad_norm=0.0480, loss=0.0102, param_norm=1803.9447
Step 3200: grad_norm=0.0531, loss=0.0108, param_norm=1803.9518
Step 3300: grad_norm=0.0488, loss=0.0112, param_norm=1803.9584
Step 3400: grad_norm=0.0520, loss=0.0111, param_norm=1803.9648
Step 3500: grad_norm=0.0485, loss=0.0103, param_norm=1803.9712
Step 3600: grad_norm=0.0462, loss=0.0096, param_norm=1803.9780
Step 3700: grad_norm=0.0444, loss=0.0099, param_norm=1803.9844
Step 3800: grad_norm=0.0459, loss=0.0100, param_norm=1803.9907
Step 3900: grad_norm=0.0425, loss=0.0089, param_norm=1803.9974
Step 4000: grad_norm=0.0431, loss=0.0089, param_norm=1804.0034
Step 4100: grad_norm=0.0423, loss=0.0094, param_norm=1804.0101
Step 4200: grad_norm=0.0437, loss=0.0088, param_norm=1804.0168
Step 4300: grad_norm=0.0477, loss=0.0095, param_norm=1804.0231
Step 4400: grad_norm=0.0455, loss=0.0090, param_norm=1804.0291
Step 4500: grad_norm=0.0447, loss=0.0093, param_norm=1804.0347
Step 4600: grad_norm=0.0453, loss=0.0099, param_norm=1804.0409
Step 4700: grad_norm=0.0456, loss=0.0097, param_norm=1804.0474
Step 4800: grad_norm=0.0407, loss=0.0087, param_norm=1804.0533
Step 4900: grad_norm=0.0422, loss=0.0085, param_norm=1804.0599
Step 5000: grad_norm=0.0454, loss=0.0097, param_norm=1804.0664
Step 5100: grad_norm=0.0413, loss=0.0088, param_norm=1804.0728
Step 5200: grad_norm=0.0428, loss=0.0090, param_norm=1804.0790
Step 5300: grad_norm=0.0388, loss=0.0087, param_norm=1804.0853
Step 5400: grad_norm=0.0445, loss=0.0094, param_norm=1804.0918
Step 5500: grad_norm=0.0421, loss=0.0087, param_norm=1804.0973
Step 5600: grad_norm=0.0404, loss=0.0085, param_norm=1804.1038
Step 5700: grad_norm=0.0408, loss=0.0081, param_norm=1804.1100
Step 5800: grad_norm=0.0449, loss=0.0097, param_norm=1804.1162
Step 5900: grad_norm=0.0419, loss=0.0085, param_norm=1804.1226
Step 6000: grad_norm=0.0445, loss=0.0091, param_norm=1804.1289
Step 6100: grad_norm=0.0436, loss=0.0084, param_norm=1804.1346
Step 6200: grad_norm=0.0421, loss=0.0083, param_norm=1804.1403
Step 6300: grad_norm=0.0380, loss=0.0079, param_norm=1804.1465
Step 6400: grad_norm=0.0408, loss=0.0084, param_norm=1804.1521
Step 6500: grad_norm=0.0382, loss=0.0078, param_norm=1804.1581
Step 6600: grad_norm=0.0387, loss=0.0080, param_norm=1804.1641
Step 6700: grad_norm=0.0397, loss=0.0080, param_norm=1804.1702
Step 6800: grad_norm=0.0416, loss=0.0084, param_norm=1804.1763
Step 6900: grad_norm=0.0381, loss=0.0077, param_norm=1804.1827
Step 7000: grad_norm=0.0410, loss=0.0083, param_norm=1804.1887
Step 7100: grad_norm=0.0423, loss=0.0087, param_norm=1804.1947
Step 7200: grad_norm=0.0392, loss=0.0078, param_norm=1804.2012
Step 7300: grad_norm=0.0384, loss=0.0078, param_norm=1804.2073
Step 7400: grad_norm=0.0413, loss=0.0087, param_norm=1804.2134
Step 7500: grad_norm=0.0402, loss=0.0083, param_norm=1804.2194
Step 7600: grad_norm=0.0428, loss=0.0083, param_norm=1804.2256
Step 7700: grad_norm=0.0390, loss=0.0081, param_norm=1804.2312
Step 7800: grad_norm=0.0423, loss=0.0080, param_norm=1804.2378
Step 7900: grad_norm=0.0408, loss=0.0076, param_norm=1804.2434
Step 8000: grad_norm=0.0370, loss=0.0072, param_norm=1804.2496
Step 8100: grad_norm=0.0370, loss=0.0075, param_norm=1804.2551
Step 8200: grad_norm=0.0365, loss=0.0076, param_norm=1804.2614
Step 8300: grad_norm=0.0383, loss=0.0075, param_norm=1804.2668
Step 8400: grad_norm=0.0358, loss=0.0074, param_norm=1804.2720
Step 8500: grad_norm=0.0417, loss=0.0079, param_norm=1804.2781
Step 8600: grad_norm=0.0381, loss=0.0076, param_norm=1804.2843
Step 8700: grad_norm=0.0403, loss=0.0078, param_norm=1804.2904
Step 8800: grad_norm=0.0381, loss=0.0074, param_norm=1804.2969
Step 8900: grad_norm=0.0448, loss=0.0097, param_norm=1804.3027
Step 9000: grad_norm=0.0442, loss=0.0082, param_norm=1804.3087
Step 9100: grad_norm=0.0382, loss=0.0082, param_norm=1804.3138
Step 9200: grad_norm=0.0379, loss=0.0074, param_norm=1804.3197
Step 9300: grad_norm=0.0392, loss=0.0079, param_norm=1804.3259
Step 9400: grad_norm=0.0379, loss=0.0074, param_norm=1804.3312
Step 9500: grad_norm=0.0395, loss=0.0077, param_norm=1804.3372
Step 9600: grad_norm=0.0370, loss=0.0073, param_norm=1804.3427
Step 9700: grad_norm=0.0364, loss=0.0075, param_norm=1804.3479
Step 9800: grad_norm=0.0397, loss=0.0077, param_norm=1804.3534
Step 9900: grad_norm=0.0377, loss=0.0074, param_norm=1804.3590
