Running on: qgpu3014
Thu Aug  6 04:07:48 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 610.43.02              KMD Version: 610.43.02     CUDA UMD Version: 13.3     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:E6:00.0 Off |                    0 |
| N/A   45C    P0             72W /  700W |       0MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Step 0: grad_norm=0.1960, loss=0.0414, param_norm=1803.8630
Step 100: grad_norm=0.1499, loss=0.0371, param_norm=1803.8629
Step 200: grad_norm=0.1054, loss=0.0288, param_norm=1803.8633
Step 300: grad_norm=0.1019, loss=0.0237, param_norm=1803.8639
Step 400: grad_norm=0.1072, loss=0.0214, param_norm=1803.8650
Step 500: grad_norm=0.1091, loss=0.0196, param_norm=1803.8668
Step 600: grad_norm=0.1030, loss=0.0186, param_norm=1803.8696
Step 700: grad_norm=0.0891, loss=0.0168, param_norm=1803.8730
Step 800: grad_norm=0.0786, loss=0.0161, param_norm=1803.8778
Step 900: grad_norm=0.0838, loss=0.0157, param_norm=1803.8837
Step 1000: grad_norm=0.0683, loss=0.0143, param_norm=1803.8896
Step 1100: grad_norm=0.0667, loss=0.0133, param_norm=1803.8971
Step 1200: grad_norm=0.0583, loss=0.0122, param_norm=1803.9043
Step 1300: grad_norm=0.0595, loss=0.0123, param_norm=1803.9116
Step 1400: grad_norm=0.0536, loss=0.0117, param_norm=1803.9191
Step 1500: grad_norm=0.0525, loss=0.0109, param_norm=1803.9259
Step 1600: grad_norm=0.0500, loss=0.0105, param_norm=1803.9325
Step 1700: grad_norm=0.0528, loss=0.0115, param_norm=1803.9397
Step 1800: grad_norm=0.0589, loss=0.0123, param_norm=1803.9460
Step 1900: grad_norm=0.0585, loss=0.0105, param_norm=1803.9526
Step 2000: grad_norm=0.0545, loss=0.0103, param_norm=1803.9596
Step 2100: grad_norm=0.0557, loss=0.0108, param_norm=1803.9666
Step 2200: grad_norm=0.0519, loss=0.0107, param_norm=1803.9733
Step 2300: grad_norm=0.0487, loss=0.0097, param_norm=1803.9801
Step 2400: grad_norm=0.0501, loss=0.0094, param_norm=1803.9868
Step 2500: grad_norm=0.0494, loss=0.0098, param_norm=1803.9937
Step 2600: grad_norm=0.0464, loss=0.0099, param_norm=1804.0007
Step 2700: grad_norm=0.0463, loss=0.0087, param_norm=1804.0073
Step 2800: grad_norm=0.0460, loss=0.0090, param_norm=1804.0137
Step 2900: grad_norm=0.0495, loss=0.0097, param_norm=1804.0206
Step 3000: grad_norm=0.0501, loss=0.0090, param_norm=1804.0275
Step 3100: grad_norm=0.0488, loss=0.0092, param_norm=1804.0341
Step 3200: grad_norm=0.0506, loss=0.0086, param_norm=1804.0408
Step 3300: grad_norm=0.0482, loss=0.0089, param_norm=1804.0475
Step 3400: grad_norm=0.0440, loss=0.0084, param_norm=1804.0537
Step 3500: grad_norm=0.0488, loss=0.0104, param_norm=1804.0605
Step 3600: grad_norm=0.0534, loss=0.0097, param_norm=1804.0671
Step 3700: grad_norm=0.0469, loss=0.0092, param_norm=1804.0736
Step 3800: grad_norm=0.0530, loss=0.0098, param_norm=1804.0801
Step 3900: grad_norm=0.0439, loss=0.0078, param_norm=1804.0861
Step 4000: grad_norm=0.0491, loss=0.0087, param_norm=1804.0918
Step 4100: grad_norm=0.0432, loss=0.0081, param_norm=1804.0981
Step 4200: grad_norm=0.0467, loss=0.0081, param_norm=1804.1044
Step 4300: grad_norm=0.0435, loss=0.0076, param_norm=1804.1102
Step 4400: grad_norm=0.0439, loss=0.0076, param_norm=1804.1166
Step 4500: grad_norm=0.0448, loss=0.0085, param_norm=1804.1226
Step 4600: grad_norm=0.0481, loss=0.0079, param_norm=1804.1290
Step 4700: grad_norm=0.0424, loss=0.0073, param_norm=1804.1356
Step 4800: grad_norm=0.0522, loss=0.0084, param_norm=1804.1421
Step 4900: grad_norm=0.0456, loss=0.0074, param_norm=1804.1481
Step 5000: grad_norm=0.0471, loss=0.0083, param_norm=1804.1541
Step 5100: grad_norm=0.0385, loss=0.0070, param_norm=1804.1598
Step 5200: grad_norm=0.0456, loss=0.0081, param_norm=1804.1663
Step 5300: grad_norm=0.0422, loss=0.0072, param_norm=1804.1715
Step 5400: grad_norm=0.0445, loss=0.0084, param_norm=1804.1775
Step 5500: grad_norm=0.0485, loss=0.0102, param_norm=1804.1833
Step 5600: grad_norm=0.0494, loss=0.0078, param_norm=1804.1890
Step 5700: grad_norm=0.0520, loss=0.0104, param_norm=1804.1949
Step 5800: grad_norm=0.0482, loss=0.0084, param_norm=1804.2003
Step 5900: grad_norm=0.0470, loss=0.0082, param_norm=1804.2059
Step 6000: grad_norm=0.0423, loss=0.0082, param_norm=1804.2112
Step 6100: grad_norm=0.0426, loss=0.0068, param_norm=1804.2172
Step 6200: grad_norm=0.0426, loss=0.0072, param_norm=1804.2224
Step 6300: grad_norm=0.0413, loss=0.0068, param_norm=1804.2283
Step 6400: grad_norm=0.0494, loss=0.0076, param_norm=1804.2344
Step 6500: grad_norm=0.0440, loss=0.0078, param_norm=1804.2394
Step 6600: grad_norm=0.0427, loss=0.0069, param_norm=1804.2440
Step 6700: grad_norm=0.0450, loss=0.0080, param_norm=1804.2500
Step 6800: grad_norm=0.0438, loss=0.0068, param_norm=1804.2554
Step 6900: grad_norm=0.0435, loss=0.0071, param_norm=1804.2611
Step 7000: grad_norm=0.0400, loss=0.0070, param_norm=1804.2662
Step 7100: grad_norm=0.0496, loss=0.0081, param_norm=1804.2712
Step 7200: grad_norm=0.0566, loss=0.0086, param_norm=1804.2770
Step 7300: grad_norm=0.0450, loss=0.0072, param_norm=1804.2825
Step 7400: grad_norm=0.0461, loss=0.0074, param_norm=1804.2881
Step 7500: grad_norm=0.0430, loss=0.0070, param_norm=1804.2937
Step 7600: grad_norm=0.0434, loss=0.0071, param_norm=1804.2994
Step 7700: grad_norm=0.0411, loss=0.0066, param_norm=1804.3049
Step 7800: grad_norm=0.0392, loss=0.0061, param_norm=1804.3099
Step 7900: grad_norm=0.0488, loss=0.0077, param_norm=1804.3149
Step 8000: grad_norm=0.0437, loss=0.0064, param_norm=1804.3197
Step 8100: grad_norm=0.0422, loss=0.0062, param_norm=1804.3245
Step 8200: grad_norm=0.0409, loss=0.0064, param_norm=1804.3295
Step 8300: grad_norm=0.0415, loss=0.0067, param_norm=1804.3350
Step 8400: grad_norm=0.0386, loss=0.0060, param_norm=1804.3409
Step 8500: grad_norm=0.0413, loss=0.0063, param_norm=1804.3459
Step 8600: grad_norm=0.0446, loss=0.0066, param_norm=1804.3506
Step 8700: grad_norm=0.0431, loss=0.0070, param_norm=1804.3552
Step 8800: grad_norm=0.0450, loss=0.0074, param_norm=1804.3600
Step 8900: grad_norm=0.0382, loss=0.0058, param_norm=1804.3646
Step 9000: grad_norm=0.0395, loss=0.0058, param_norm=1804.3694
Step 9100: grad_norm=0.0445, loss=0.0103, param_norm=1804.3741
Step 9200: grad_norm=0.0407, loss=0.0060, param_norm=1804.3785
Step 9300: grad_norm=0.0418, loss=0.0065, param_norm=1804.3837
Step 9400: grad_norm=0.0418, loss=0.0063, param_norm=1804.3878
Step 9500: grad_norm=0.0517, loss=0.0076, param_norm=1804.3925
Step 9600: grad_norm=0.0417, loss=0.0070, param_norm=1804.3971
Step 9700: grad_norm=0.0432, loss=0.0065, param_norm=1804.4015
Step 9800: grad_norm=0.0412, loss=0.0065, param_norm=1804.4053
Step 9900: grad_norm=0.0415, loss=0.0067, param_norm=1804.4097
Step 10000: grad_norm=0.0442, loss=0.0066, param_norm=1804.4137
Step 10100: grad_norm=0.0389, loss=0.0058, param_norm=1804.4185
Step 10200: grad_norm=0.0446, loss=0.0071, param_norm=1804.4231
