Running on: qgpu3008
Mon Aug 10 22:21:31 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 610.43.02              KMD Version: 610.43.02     CUDA UMD Version: 13.3     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:42:00.0 Off |                    0 |
| N/A   44C    P0             73W /  700W |       0MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Step 0: grad_norm=0.1468, loss=0.0389, param_norm=1803.8630
Step 100: grad_norm=0.1390, loss=0.0456, param_norm=1803.8629
Step 200: grad_norm=0.1095, loss=0.0355, param_norm=1803.8630
Step 300: grad_norm=0.1145, loss=0.0299, param_norm=1803.8638
Step 400: grad_norm=0.1311, loss=0.0273, param_norm=1803.8652
Step 500: grad_norm=0.1262, loss=0.0250, param_norm=1803.8678
Step 600: grad_norm=0.1121, loss=0.0230, param_norm=1803.8708
Step 700: grad_norm=0.1050, loss=0.0213, param_norm=1803.8746
Step 800: grad_norm=0.0990, loss=0.0193, param_norm=1803.8796
Step 900: grad_norm=0.0948, loss=0.0190, param_norm=1803.8856
Step 1000: grad_norm=0.0800, loss=0.0169, param_norm=1803.8928
Step 1100: grad_norm=0.0825, loss=0.0168, param_norm=1803.9012
Step 1200: grad_norm=0.0831, loss=0.0169, param_norm=1803.9099
Step 1300: grad_norm=0.0788, loss=0.0166, param_norm=1803.9185
Step 1400: grad_norm=0.0715, loss=0.0155, param_norm=1803.9263
Step 1500: grad_norm=0.0693, loss=0.0148, param_norm=1803.9341
Step 1600: grad_norm=0.0674, loss=0.0139, param_norm=1803.9421
Step 1700: grad_norm=0.0741, loss=0.0149, param_norm=1803.9506
Step 1800: grad_norm=0.0610, loss=0.0137, param_norm=1803.9579
Step 1900: grad_norm=0.0643, loss=0.0142, param_norm=1803.9653
Step 2000: grad_norm=0.0679, loss=0.0149, param_norm=1803.9734
Step 2100: grad_norm=0.0770, loss=0.0151, param_norm=1803.9812
Step 2200: grad_norm=0.0667, loss=0.0137, param_norm=1803.9889
Step 2300: grad_norm=0.0593, loss=0.0131, param_norm=1803.9958
Step 2400: grad_norm=0.0606, loss=0.0124, param_norm=1804.0031
Step 2500: grad_norm=0.0602, loss=0.0126, param_norm=1804.0103
Step 2600: grad_norm=0.0547, loss=0.0116, param_norm=1804.0176
Step 2700: grad_norm=0.0534, loss=0.0119, param_norm=1804.0249
Step 2800: grad_norm=0.0522, loss=0.0113, param_norm=1804.0326
Step 2900: grad_norm=0.0581, loss=0.0118, param_norm=1804.0398
Step 3000: grad_norm=0.0541, loss=0.0117, param_norm=1804.0474
Step 3100: grad_norm=0.0565, loss=0.0118, param_norm=1804.0548
Step 3200: grad_norm=0.0534, loss=0.0112, param_norm=1804.0621
Step 3300: grad_norm=0.0545, loss=0.0111, param_norm=1804.0693
Step 3400: grad_norm=0.0729, loss=0.0127, param_norm=1804.0762
Step 3500: grad_norm=0.0523, loss=0.0105, param_norm=1804.0831
Step 3600: grad_norm=0.0542, loss=0.0112, param_norm=1804.0890
Step 3700: grad_norm=0.0540, loss=0.0112, param_norm=1804.0956
Step 3800: grad_norm=0.0486, loss=0.0101, param_norm=1804.1033
Step 3900: grad_norm=0.0504, loss=0.0101, param_norm=1804.1102
Step 4000: grad_norm=0.0545, loss=0.0103, param_norm=1804.1167
Step 4100: grad_norm=0.0572, loss=0.0113, param_norm=1804.1228
Step 4200: grad_norm=0.0478, loss=0.0102, param_norm=1804.1294
Step 4300: grad_norm=0.0501, loss=0.0103, param_norm=1804.1362
Step 4400: grad_norm=0.0518, loss=0.0098, param_norm=1804.1426
Step 4500: grad_norm=0.0538, loss=0.0111, param_norm=1804.1490
Step 4600: grad_norm=0.0504, loss=0.0097, param_norm=1804.1549
Step 4700: grad_norm=0.0513, loss=0.0103, param_norm=1804.1619
Step 4800: grad_norm=0.0461, loss=0.0089, param_norm=1804.1686
