Running on: qgpu3013
Mon Aug 10 00:35:45 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 610.43.02              KMD Version: 610.43.02     CUDA UMD Version: 13.3     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:42:00.0 Off |                    0 |
| N/A   44C    P0             70W /  700W |       0MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Step 0: grad_norm=0.1433, loss=0.0325, param_norm=1803.8630
Step 100: grad_norm=0.1424, loss=0.0339, param_norm=1803.8629
Step 200: grad_norm=0.1026, loss=0.0262, param_norm=1803.8630
Step 300: grad_norm=0.0959, loss=0.0232, param_norm=1803.8638
Step 400: grad_norm=0.1002, loss=0.0207, param_norm=1803.8650
Step 500: grad_norm=0.0971, loss=0.0190, param_norm=1803.8668
Step 600: grad_norm=0.0954, loss=0.0176, param_norm=1803.8698
Step 700: grad_norm=0.0876, loss=0.0158, param_norm=1803.8730
Step 800: grad_norm=0.0832, loss=0.0150, param_norm=1803.8774
Step 900: grad_norm=0.0701, loss=0.0144, param_norm=1803.8826
Step 1000: grad_norm=0.0688, loss=0.0133, param_norm=1803.8895
Step 1100: grad_norm=0.0664, loss=0.0131, param_norm=1803.8971
Step 1200: grad_norm=0.0610, loss=0.0130, param_norm=1803.9049
Step 1300: grad_norm=0.0592, loss=0.0124, param_norm=1803.9125
Step 1400: grad_norm=0.0562, loss=0.0125, param_norm=1803.9191
Step 1500: grad_norm=0.0561, loss=0.0114, param_norm=1803.9263
Step 1600: grad_norm=0.0579, loss=0.0110, param_norm=1803.9337
Step 1700: grad_norm=0.0629, loss=0.0121, param_norm=1803.9414
