Running on: qgpu3014
Mon Aug  3 17:11:40 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 610.43.02              KMD Version: 610.43.02     CUDA UMD Version: 13.3     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:E6:00.0 Off |                    0 |
| N/A   45C    P0             72W /  700W |       0MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Step 0: grad_norm=0.2095, loss=0.0679, param_norm=1803.8630
Step 100: grad_norm=0.2006, loss=0.0811, param_norm=1803.8629
Step 200: grad_norm=0.1717, loss=0.0565, param_norm=1803.8633
Step 300: grad_norm=0.1699, loss=0.0428, param_norm=1803.8638
Step 400: grad_norm=0.1746, loss=0.0368, param_norm=1803.8652
Step 500: grad_norm=0.1965, loss=0.0393, param_norm=1803.8673
Step 600: grad_norm=0.1664, loss=0.0291, param_norm=1803.8706
Step 700: grad_norm=0.1685, loss=0.0312, param_norm=1803.8746
Step 800: grad_norm=0.1502, loss=0.0258, param_norm=1803.8798
Step 900: grad_norm=0.1318, loss=0.0243, param_norm=1803.8859
Step 1000: grad_norm=0.1322, loss=0.0235, param_norm=1803.8939
Step 1100: grad_norm=0.1176, loss=0.0209, param_norm=1803.9025
Step 1200: grad_norm=0.1207, loss=0.0240, param_norm=1803.9106
Step 1300: grad_norm=0.1099, loss=0.0208, param_norm=1803.9191
Step 1400: grad_norm=0.1005, loss=0.0182, param_norm=1803.9269
Step 1500: grad_norm=0.0916, loss=0.0180, param_norm=1803.9351
Step 1600: grad_norm=0.1124, loss=0.0181, param_norm=1803.9431
Step 1700: grad_norm=0.0972, loss=0.0189, param_norm=1803.9512
Step 1800: grad_norm=0.0900, loss=0.0172, param_norm=1803.9592
Step 1900: grad_norm=0.0909, loss=0.0161, param_norm=1803.9666
Step 2000: grad_norm=0.1106, loss=0.0206, param_norm=1803.9740
Step 2100: grad_norm=0.0854, loss=0.0162, param_norm=1803.9811
Step 2200: grad_norm=0.1004, loss=0.0174, param_norm=1803.9888
Step 2300: grad_norm=0.0982, loss=0.0174, param_norm=1803.9958
Step 2400: grad_norm=0.0782, loss=0.0144, param_norm=1804.0034
Step 2500: grad_norm=0.0891, loss=0.0175, param_norm=1804.0114
Step 2600: grad_norm=0.0886, loss=0.0161, param_norm=1804.0186
Step 2700: grad_norm=0.0899, loss=0.0150, param_norm=1804.0267
Step 2800: grad_norm=0.0969, loss=0.0162, param_norm=1804.0336
Step 2900: grad_norm=0.0777, loss=0.0136, param_norm=1804.0405
Step 3000: grad_norm=0.0789, loss=0.0144, param_norm=1804.0481
Step 3100: grad_norm=0.0840, loss=0.0145, param_norm=1804.0555
Step 3200: grad_norm=0.0917, loss=0.0157, param_norm=1804.0630
Step 3300: grad_norm=0.0953, loss=0.0158, param_norm=1804.0706
Step 3400: grad_norm=0.0825, loss=0.0149, param_norm=1804.0775
Step 3500: grad_norm=0.0661, loss=0.0118, param_norm=1804.0845
Step 3600: grad_norm=0.0789, loss=0.0139, param_norm=1804.0922
Step 3700: grad_norm=0.0787, loss=0.0130, param_norm=1804.1000
Step 3800: grad_norm=0.0768, loss=0.0133, param_norm=1804.1072
Step 3900: grad_norm=0.0647, loss=0.0114, param_norm=1804.1141
Step 4000: grad_norm=0.0696, loss=0.0119, param_norm=1804.1213
Step 4100: grad_norm=0.0772, loss=0.0154, param_norm=1804.1287
Step 4200: grad_norm=0.0723, loss=0.0122, param_norm=1804.1350
Step 4300: grad_norm=0.0811, loss=0.0139, param_norm=1804.1415
Step 4400: grad_norm=0.0736, loss=0.0124, param_norm=1804.1478
Step 4500: grad_norm=0.0839, loss=0.0140, param_norm=1804.1545
