Running on: qgpu3015
Sun Aug  2 15:27:01 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 610.43.02              KMD Version: 610.43.02     CUDA UMD Version: 13.3     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:E6:00.0 Off |                    0 |
| N/A   43C    P0             68W /  700W |       0MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Step 0: grad_norm=0.2305, loss=0.0442, param_norm=1803.8630
Step 100: grad_norm=0.1982, loss=0.0462, param_norm=1803.8629
Step 200: grad_norm=0.1288, loss=0.0319, param_norm=1803.8633
Step 300: grad_norm=0.1087, loss=0.0225, param_norm=1803.8639
Step 400: grad_norm=0.1166, loss=0.0205, param_norm=1803.8650
Step 500: grad_norm=0.1124, loss=0.0191, param_norm=1803.8666
Step 600: grad_norm=0.1019, loss=0.0175, param_norm=1803.8690
Step 700: grad_norm=0.0917, loss=0.0183, param_norm=1803.8724
Step 800: grad_norm=0.0864, loss=0.0145, param_norm=1803.8768
Step 900: grad_norm=0.0736, loss=0.0121, param_norm=1803.8822
Step 1000: grad_norm=0.0760, loss=0.0137, param_norm=1803.8890
Step 1100: grad_norm=0.0663, loss=0.0119, param_norm=1803.8965
Step 1200: grad_norm=0.0837, loss=0.0138, param_norm=1803.9038
Step 1300: grad_norm=0.0595, loss=0.0122, param_norm=1803.9109
Step 1400: grad_norm=0.0593, loss=0.0107, param_norm=1803.9182
Step 1500: grad_norm=0.0607, loss=0.0110, param_norm=1803.9255
Step 1600: grad_norm=0.0744, loss=0.0103, param_norm=1803.9323
Step 1700: grad_norm=0.0616, loss=0.0127, param_norm=1803.9387
Step 1800: grad_norm=0.0663, loss=0.0110, param_norm=1803.9459
Step 1900: grad_norm=0.0575, loss=0.0100, param_norm=1803.9531
Step 2000: grad_norm=0.0523, loss=0.0100, param_norm=1803.9601
Step 2100: grad_norm=0.0564, loss=0.0099, param_norm=1803.9674
Step 2200: grad_norm=0.0498, loss=0.0099, param_norm=1803.9746
Step 2300: grad_norm=0.0654, loss=0.0116, param_norm=1803.9818
Step 2400: grad_norm=0.0500, loss=0.0086, param_norm=1803.9891
Step 2500: grad_norm=0.0508, loss=0.0095, param_norm=1803.9962
Step 2600: grad_norm=0.0555, loss=0.0107, param_norm=1804.0024
Step 2700: grad_norm=0.0626, loss=0.0097, param_norm=1804.0093
Step 2800: grad_norm=0.0571, loss=0.0093, param_norm=1804.0165
Step 2900: grad_norm=0.0474, loss=0.0086, param_norm=1804.0231
Step 3000: grad_norm=0.0766, loss=0.0103, param_norm=1804.0297
Step 3100: grad_norm=0.0481, loss=0.0083, param_norm=1804.0359
Step 3200: grad_norm=0.0547, loss=0.0091, param_norm=1804.0426
Step 3300: grad_norm=0.0517, loss=0.0092, param_norm=1804.0491
Step 3400: grad_norm=0.0485, loss=0.0087, param_norm=1804.0553
Step 3500: grad_norm=0.0441, loss=0.0073, param_norm=1804.0616
Step 3600: grad_norm=0.0476, loss=0.0076, param_norm=1804.0679
Step 3700: grad_norm=0.0465, loss=0.0076, param_norm=1804.0748
Step 3800: grad_norm=0.0564, loss=0.0080, param_norm=1804.0814
Step 3900: grad_norm=0.0429, loss=0.0073, param_norm=1804.0878
Step 4000: grad_norm=0.0406, loss=0.0065, param_norm=1804.0940
Step 4100: grad_norm=0.0484, loss=0.0091, param_norm=1804.1010
Step 4200: grad_norm=0.0440, loss=0.0070, param_norm=1804.1068
Step 4300: grad_norm=0.0467, loss=0.0087, param_norm=1804.1134
Step 4400: grad_norm=0.0450, loss=0.0072, param_norm=1804.1194
Step 4500: grad_norm=0.0590, loss=0.0102, param_norm=1804.1263
Step 4600: grad_norm=0.0496, loss=0.0085, param_norm=1804.1328
Step 4700: grad_norm=0.0460, loss=0.0067, param_norm=1804.1387
Step 4800: grad_norm=0.0414, loss=0.0065, param_norm=1804.1450
Step 4900: grad_norm=0.0477, loss=0.0083, param_norm=1804.1515
Step 5000: grad_norm=0.0557, loss=0.0088, param_norm=1804.1575
Step 5100: grad_norm=0.0471, loss=0.0066, param_norm=1804.1625
Step 5200: grad_norm=0.0541, loss=0.0084, param_norm=1804.1685
Step 5300: grad_norm=0.0469, loss=0.0074, param_norm=1804.1747
Step 5400: grad_norm=0.0429, loss=0.0063, param_norm=1804.1797
Step 5500: grad_norm=0.0462, loss=0.0072, param_norm=1804.1855
Step 5600: grad_norm=0.0504, loss=0.0085, param_norm=1804.1914
Step 5700: grad_norm=0.0384, loss=0.0056, param_norm=1804.1975
Step 5800: grad_norm=0.0407, loss=0.0060, param_norm=1804.2036
Step 5900: grad_norm=0.0404, loss=0.0069, param_norm=1804.2096
Step 6000: grad_norm=0.0384, loss=0.0059, param_norm=1804.2156
Step 6100: grad_norm=0.0455, loss=0.0072, param_norm=1804.2216
Step 6200: grad_norm=0.0391, loss=0.0057, param_norm=1804.2278
Step 6300: grad_norm=0.0382, loss=0.0057, param_norm=1804.2335
Step 6400: grad_norm=0.0519, loss=0.0092, param_norm=1804.2396
Step 6500: grad_norm=0.0398, loss=0.0061, param_norm=1804.2455
Step 6600: grad_norm=0.0373, loss=0.0059, param_norm=1804.2511
Step 6700: grad_norm=0.0473, loss=0.0062, param_norm=1804.2563
Step 6800: grad_norm=0.0438, loss=0.0057, param_norm=1804.2618
Step 6900: grad_norm=0.0381, loss=0.0072, param_norm=1804.2675
Step 7000: grad_norm=0.0469, loss=0.0057, param_norm=1804.2734
Step 7100: grad_norm=0.0406, loss=0.0057, param_norm=1804.2787
Step 7200: grad_norm=0.0419, loss=0.0064, param_norm=1804.2843
Step 7300: grad_norm=0.0485, loss=0.0060, param_norm=1804.2896
Step 7400: grad_norm=0.0799, loss=0.0116, param_norm=1804.2942
Step 7500: grad_norm=0.0418, loss=0.0064, param_norm=1804.2993
Step 7600: grad_norm=0.0402, loss=0.0057, param_norm=1804.3041
Step 7700: grad_norm=0.0419, loss=0.0059, param_norm=1804.3093
Step 7800: grad_norm=0.0429, loss=0.0061, param_norm=1804.3149
Step 7900: grad_norm=0.0440, loss=0.0057, param_norm=1804.3203
Step 8000: grad_norm=0.0444, loss=0.0062, param_norm=1804.3253
Step 8100: grad_norm=0.0479, loss=0.0078, param_norm=1804.3306
Step 8200: grad_norm=0.0646, loss=0.0068, param_norm=1804.3362
Step 8300: grad_norm=0.0727, loss=0.0077, param_norm=1804.3406
Step 8400: grad_norm=0.0412, loss=0.0058, param_norm=1804.3445
Step 8500: grad_norm=0.0388, loss=0.0054, param_norm=1804.3494
Step 8600: grad_norm=0.0447, loss=0.0055, param_norm=1804.3544
Step 8700: grad_norm=0.0434, loss=0.0064, param_norm=1804.3589
Step 8800: grad_norm=0.0389, loss=0.0065, param_norm=1804.3638
Step 8900: grad_norm=0.0369, loss=0.0049, param_norm=1804.3684
Step 9000: grad_norm=0.0462, loss=0.0057, param_norm=1804.3734
Step 9100: grad_norm=0.0456, loss=0.0054, param_norm=1804.3778
Step 9200: grad_norm=0.0455, loss=0.0068, param_norm=1804.3813
Step 9300: grad_norm=0.0390, loss=0.0046, param_norm=1804.3865
Step 9400: grad_norm=0.0423, loss=0.0059, param_norm=1804.3915
Step 9500: grad_norm=0.0416, loss=0.0052, param_norm=1804.3956
Step 9600: grad_norm=0.0428, loss=0.0056, param_norm=1804.4004
